,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_42,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_42,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 42)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.22482,-0.1944,-0.13656,-0.3024,-0.26806,-0.00156,-0.63223,0.24497,0.99008,0.54369,0.91816,-0.68537,-0.49983,-1.29248,-0.38153,1.48991,1.62231,-1.22906,-0.4109,-2.3032,1.9726,3.0602,3507.5152,1.938308282,1.470994434,1.987247844,1.971871446,0.98623791,279.45,107.344,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.22621,0.00551,-0.11524,-0.31523,-0.28072,-0.20163,-0.6342,0.24511,0.99315,0.54279,0.91743,-0.68532,-0.4956,-1.30838,-0.36035,1.48875,1.62735,-1.22811,-0.1801,-2.3955,2.082,3.1789,3474.7027,1.943397282,1.483137656,1.954266932,1.978320058,0.987598696,277.316,98.8276,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.22857,-0.20444,-0.11998,-0.31617,-0.27326,-0.20861,-0.63349,0.24997,0.99263,0.54311,0.91791,-0.68493,-0.49394,-1.3088,-0.36995,1.48657,1.62612,-1.22804,-0.4368,-2.1002,2.0186,2.9456,3504.6326,1.93871081,1.484603035,1.961333893,1.977368776,0.986465885,276.337,97.0268,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.32276,-0.17264,-0.15159,-0.30464,-0.32424,0.36712,-0.63291,0.24903,0.99491,0.54357,0.91812,-0.6858,-0.49841,-1.29955,-0.40062,1.49332,1.62782,-1.22937,-1.0365,-2.3991,1.8869,3.2235,3485.732,1.955923731,1.46560212,1.970201899,1.974649904,0.98732773,287.829,123.73,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.20794,-0.19527,-0.11131,-0.31267,-0.24265,-0.1429,-0.6321,0.23904,0.98577,0.54029,0.91913,-0.68273,-0.49521,-1.29844,-0.35035,1.48098,1.61787,-1.22302,1.1165,-8.1778,1.7905,8.4457,3538.9631,1.938167819,1.475400598,1.990236045,1.970530233,0.984725538,276.808,101.734,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.2268,-0.19956,-0.11995,-0.32623,-0.27352,-0.20912,-0.63358,0.24478,0.99264,0.54248,0.91795,-0.68465,-0.49559,-1.31887,-0.36473,1.48823,1.62622,-1.22713,-0.4707,-2.3315,1.9603,3.0823,3483.932,1.955532839,1.472706099,1.971003618,1.976362394,0.98716116,264.99,94.6161,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.20658,-0.04673,-0.08464,-0.31015,-0.28925,-0.21247,-0.63074,0.23404,0.99373,0.54214,0.91778,-0.68614,-0.48178,-1.30388,-0.31868,1.47551,1.62447,-1.22828,0.2593,-2.0614,1.7172,2.6954,3480.4122,1.964708737,1.429466096,2.001407891,1.968479363,0.987528395,286.593,125.903,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.22743,-0.19953,-0.14863,-0.3103,-0.27252,-0.20656,-0.63035,0.06651,0.98651,0.54168,0.91927,-0.68496,-0.523,-1.29681,-0.21514,1.50951,1.61686,-1.22664,0.3181,-1.4864,1.7434,2.3131,3531.7918,1.956824756,1.459368276,1.994924517,1.970749287,0.985061421,259.732,89.2024,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.21524,-0.24637,0.1112,-0.35569,-0.26098,-0.2294,-0.63051,-0.1522,0.96598,0.54104,0.91979,-0.6861,-0.331,-1.32167,0.2634,1.29698,1.59649,-1.22714,-0.6994,-1.3573,1.5762,2.1945,3528.3655,1.953143791,1.423951028,1.976972722,1.976915854,0.985163035,248.152,80.9993,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.21695,-0.25708,0.26507,-0.39725,-0.26136,-0.2373,-0.63699,-0.52539,1.02794,0.54445,0.92068,-0.68735,-0.54205,-1.42519,0.79046,1.56999,1.66493,-1.2318,0.8682,-2.7939,0.4494,2.96,3505.286,1.958238246,1.396156508,2.02081114,1.977393422,0.986676772,265.481,89.734,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
28,-0.22852,-0.20043,-0.12996,-0.31938,-0.26307,-0.20775,-0.63991,0.275,1.01082,0.54282,0.91894,-0.68141,-0.5076,-1.3302,-0.40496,1.51842,1.65073,-1.22423,-0.2642,-1.3806,1.7825,2.2701,3513.2634,1.941483581,1.473523409,1.998775051,1.975268213,0.986211701,309.657,147.936,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
5,-0.19828,-0.20217,-0.10139,-0.31259,-0.23097,-0.14787,-0.63252,0.23811,0.98499,0.54053,0.91921,-0.684,-0.49333,-1.29758,-0.3395,1.47832,1.61751,-1.22453,-1.3378,-6.1189,1.9205,6.5513,3539.1868,1.939133395,1.474762819,1.989076044,1.973653906,0.984801473,282.115,117.139,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
41,-0.24139,-0.1902,-0.15504,-0.30914,-0.27658,-0.11273,-0.62849,0.49082,0.99509,0.53966,0.91966,-0.68568,-0.54908,-1.30423,-0.64586,1.54417,1.62358,-1.22534,0.6941,-4.414,1.4293,4.6913,3541.7367,1.972305583,1.463851874,1.958875925,1.979724515,0.984527235,380.305,160.204,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.21231,-0.23908,0.10244,-0.34561,-0.26075,-0.02176,-0.6304,-0.14996,0.96739,0.54205,0.91957,-0.68683,-0.33157,-1.313,0.2524,1.29896,1.59779,-1.22888,-0.5114,-1.4716,1.5523,2.1993,3521.6291,1.952400882,1.42378465,1.976976657,1.976448288,0.985566527,262.075,91.2562,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.22628,-0.20571,-0.11583,-0.33173,-0.26493,-0.2211,-0.63607,0.20987,0.99068,0.54504,0.91629,-0.68345,-0.37448,-1.32241,-0.3257,1.36516,1.62675,-1.22849,0.1795,-3.7489,3.1494,4.8995,3472.5685,1.964805181,1.466223908,1.98259444,1.979219855,0.987824354,268.816,87.1695,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.21452,-0.03981,0.11737,-0.34436,-0.26789,-0.22097,-0.63018,-0.15308,0.96592,0.54152,0.91964,-0.68665,-0.33267,-1.31028,0.27045,1.29859,1.5961,-1.22817,-0.5286,-1.4351,1.61,2.2206,3526.4705,1.943210563,1.435081801,1.961056681,1.977474292,0.985230691,260.044,87.7721,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.22908,-0.19259,-0.13555,-0.30605,-0.27489,-0.20085,-0.63257,0.27286,0.98014,0.54128,0.91899,-0.68463,-0.52855,-1.28619,-0.40841,1.50869,1.61271,-1.22591,-0.6664,0.5477,1.3403,1.5939,3537.4828,1.944673664,1.468102688,1.98688608,1.97409356,0.984880281,260.206,89.0708,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
32,-0.21364,-0.17301,-0.15665,-0.28327,-0.28328,-0.1274,-0.62963,0.67874,0.98213,0.53932,0.91918,-0.68367,-0.57421,-1.2654,-0.83539,1.55634,1.61176,-1.22299,2.141,-7.8165,1.6846,8.2777,3561.3158,1.969655235,1.458847595,1.979517492,1.97573558,0.98391903,257.506,80.7315,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,11,-1.341787249
