Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_30,diff_NBO_30_31,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(30, 31)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.25065,-0.19815,-0.13785,-0.19332,-0.25469,-0.0117,0.26352,1.08111,-0.81999,0.54116,-1.27443,-0.40137,1.9011,-1.36115,-1.2952,-5.8386,-3.2905,6.8261,1.920625163,1.463625077,1.888531763,1.502774541,297.106,128.128,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.24631,0.01704,-0.12414,-0.17788,-0.27327,-0.20458,0.26265,1.08366,-0.81119,0.54291,-1.26154,-0.38679,1.89485,-1.3541,0.6167,-4.2358,-3.1696,5.3262,1.91136053,1.47576212,1.892633721,1.659029681,294.291,117.73,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.25199,-0.21374,-0.13232,-0.19448,-0.26276,-0.2167,0.26737,1.08108,-0.81927,0.5406,-1.27556,-0.39969,1.90035,-1.35987,-2.3601,-6.4227,-3.3871,7.635,1.91220927,1.477900375,1.886132185,1.492213361,294.741,117.49,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.34276,-0.18501,-0.1565,-0.18944,-0.29379,0.36935,0.26692,1.08215,-0.8157,0.54216,-1.27159,-0.42342,1.89785,-1.35786,-1.2923,-5.6401,-2.8263,6.4397,1.914680472,1.458886608,1.888796227,1.580613509,303.579,137.98,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.22714,-0.20508,-0.11993,-0.20418,-0.25051,-0.1472,0.26033,1.08207,-0.82591,0.53651,-1.28625,-0.38026,1.90798,-1.36242,-1.1575,-11.452,-3.4853,12.0264,1.930409442,1.469279691,1.899588214,1.505806904,294.489,124.42,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.2519,-0.20701,-0.1312,-0.20091,-0.26094,-0.22066,0.26301,1.08179,-0.81868,0.54077,-1.2827,-0.39421,1.90047,-1.35945,-1.7261,-5.9181,-3.5731,7.1254,1.927180333,1.466426094,1.885760706,1.493833316,283.186,116.614,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.23179,-0.05501,-0.0815,-0.20986,-0.25789,-0.2201,0.24814,1.0815,-0.8188,0.54051,-1.29136,-0.32964,1.9003,-1.35931,-1.6506,-5.3544,-3.6081,6.6642,1.938111533,1.428522469,1.886182606,1.497360349,304.962,141.96,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.25155,-0.20604,-0.15333,-0.20152,-0.25968,-0.21785,0.09839,1.07693,-0.81708,0.53977,-1.27845,-0.25172,1.89401,-1.35685,-1.1009,-5.2509,-3.5884,6.4545,1.94030351,1.453024442,1.886390619,1.497292856,277.656,106.059,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.24046,-0.25448,0.10924,-0.25481,-0.24312,-0.24222,-0.13521,1.05538,-0.81427,0.53927,-1.31019,0.24445,1.86965,-1.35354,-1.6403,-4.8112,-3.6844,6.278,1.935921813,1.427760099,1.888695408,1.501238092,265.042,97.0199,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.24961,-0.27053,0.26311,-0.29351,-0.23789,-0.25323,-0.52766,1.0931,-0.84367,0.5424,-1.38661,0.79077,1.93677,-1.38607,1.4688,-3.8304,-1.8255,4.4902,1.914655715,1.404923432,1.897561979,1.510709191,277.845,78.6561,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
28,-0.25303,-0.20956,-0.14275,-0.1863,-0.26658,-0.21203,0.28692,1.09414,-0.83365,0.54109,-1.28044,-0.42967,1.92779,-1.37474,-2.8166,-6.7841,-2.6076,7.7947,1.90812713,1.466214838,1.893771809,1.500315371,330.313,167.054,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
5,-0.21275,-0.20573,-0.10147,-0.20607,-0.2047,-0.15351,0.25617,1.07509,-0.81305,0.53776,-1.28116,-0.35764,1.88814,-1.35081,-2.3042,-7.0367,-5.5575,9.258,1.922966877,1.469326216,1.88038808,1.522040819,301.312,125.687,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
41,-0.26501,-0.19686,-0.15138,-0.1981,-0.26792,-0.10535,0.51079,1.09371,-0.82503,0.54056,-1.29181,-0.66217,1.91874,-1.36559,-2.3992,-6.0593,-2.3168,6.9166,1.949213441,1.455030483,1.893534981,1.470046666,396.06,197.994,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.23885,-0.24695,0.10291,-0.24743,-0.23709,-0.03383,-0.13356,1.0545,-0.81598,0.54018,-1.30193,0.23647,1.87048,-1.35616,-1.2403,-4.759,-3.3961,5.9766,1.930851596,1.427106918,1.890852022,1.505650097,277.968,105.985,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.25261,-0.21546,-0.12602,-0.20951,-0.26625,-0.22717,0.21608,1.08705,-0.82504,0.54402,-1.29656,-0.3421,1.91209,-1.36906,-2.7913,-8.3823,-3.1807,9.39,1.948600255,1.461646864,1.884976863,1.44018669,286.561,107.418,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.23698,-0.05168,0.11791,-0.24485,-0.24886,-0.23337,-0.13705,1.05565,-0.81397,0.53942,-1.3005,0.25496,1.86962,-1.35339,-1.8795,-4.8458,-3.6769,6.3666,1.928637723,1.438269881,1.889775297,1.499081471,277.213,102.371,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.25362,-0.20251,-0.14666,-0.20106,-0.27517,-0.19907,0.29165,1.0768,-0.8269,0.53583,-1.27786,-0.43831,1.9037,-1.36273,-1.4816,-6.0694,-3.81,7.3178,1.933754819,1.459763741,1.897160994,1.513104291,277.83,111.636,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
32,-0.22581,-0.20304,-0.16854,-0.20077,-0.22097,-0.13621,0.68598,1.08853,-0.81317,0.54033,-1.2893,-0.85452,1.9017,-1.3535,0.8976,-7.867,-3.6211,8.7067,1.944564965,1.453085546,1.893652928,1.570170949,272.811,91.4335,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,11,-1.341787249
